activity,lap,timestamp,seconds,lat,long,alt,dist,heart,cad
Running,6,2015-07-04T09:38:24.908-07:00,1436027904,37.61660134792328,-122.4106434583664,23.2,0.0,67,0
Running,6,2015-07-04T09:38:25.000-07:00,1436027905,37.61660134792328,-122.4106434583664,23.2,0.0,67,0
Running,6,2015-07-04T09:38:26.000-07:00,1436027906,37.616657733917236,-122.4107438325882,23.75,10.838443340383169,67,0
Running,6,2015-07-04T09:38:27.000-07:00,1436027907,37.61663520336151,-122.41074812412262,24.4,13.372085900497233,67,0
Running,6,2015-07-04T09:38:28.000-07:00,1436027908,37.616621255874634,-122.41078579425812,24.68,17.03460594384665,67,0
Running,6,2015-07-04T09:38:29.000-07:00,1436027909,37.61660647392273,-122.41082096099854,24.82,20.541157209887782,67,0
Running,6,2015-07-04T09:38:30.000-07:00,1436027910,37.61659014225006,-122.41083824634552,25.01,22.910925189927806,71,0
Running,6,2015-07-04T09:38:31.000-07:00,1436027911,37.616570830345154,-122.41087257862091,24.89,26.619777814199903,71,0
Running,6,2015-07-04T09:38:32.000-07:00,1436027912,37.61657249927521,-122.41088688373566,25.59,27.893352506843257,71,0
Running,6,2015-07-04T09:38:33.000-07:00,1436027913,37.61655378341675,-122.41091632843018,25.72,31.21857039240472,71,0
Running,6,2015-07-04T09:38:34.000-07:00,1436027914,37.61653661727905,-122.41094648838043,25.54,34.48969748679706,71,0
Running,6,2015-07-04T09:38:35.000-07:00,1436027915,37.61652135848999,-122.41097211837769,26.07,37.31369523244927,77,0
Running,6,2015-07-04T09:38:36.000-07:00,1436027916,37.6165075302124,-122.41099548339844,25.96,39.88265879487353,77,0
Running,6,2015-07-04T09:38:37.000-07:00,1436027917,37.61649179458618,-122.41102421283722,25.9,42.959149008274,77,0
Running,6,2015-07-04T09:38:38.000-07:00,1436027918,37.61647689342499,-122.41105318069458,26.23,46.00142038665747,77,0
Running,6,2015-07-04T09:38:39.000-07:00,1436027919,37.616464138031006,-122.41107773780823,26.95,48.58794820300813,77,0
Running,6,2015-07-04T09:38:40.000-07:00,1436027920,37.61645197868347,-122.41110026836395,27.32,50.98924023593969,84,0
Running,6,2015-07-04T09:38:41.000-07:00,1436027921,37.616440534591675,-122.41112339496613,27.54,53.391028506330024,84,0
Running,6,2015-07-04T09:38:42.000-07:00,1436027922,37.616427063941956,-122.41114783287048,27.97,56.01338502540071,84,0
Running,6,2015-07-04T09:38:43.000-07:00,1436027923,37.61641299724579,-122.41117227077484,28.39,58.67415524400899,84,0
Running,6,2015-07-04T09:38:44.000-07:00,1436027924,37.61639904975891,-122.41119754314423,28.78,61.38712784417538,84,0
Running,6,2015-07-04T09:38:45.000-07:00,1436027925,37.616384625434875,-122.41122329235077,29.42,64.16493986761682,92,0
Running,6,2015-07-04T09:38:46.000-07:00,1436027926,37.61637091636658,-122.41124737262726,29.4,66.77688770581607,92,0
Running,6,2015-07-04T09:38:47.000-07:00,1436027927,37.61635708808899,-122.41127014160156,29.34,69.30399320398844,92,0
Running,6,2015-07-04T09:38:48.000-07:00,1436027928,37.61634337902069,-122.411292552948,29.55,71.79805090171786,92,0
Running,6,2015-07-04T09:38:49.000-07:00,1436027929,37.616331934928894,-122.41130912303925,29.8,73.73439188514426,92,0
Running,6,2015-07-04T09:38:50.000-07:00,1436027930,37.616321086883545,-122.41132390499115,29.87,75.50927318557561,100,0
Running,6,2015-07-04T09:38:51.000-07:00,1436027931,37.61630868911743,-122.41134130954742,29.79,77.57094589238473,100,0
Running,6,2015-07-04T09:38:52.000-07:00,1436027932,37.616297483444214,-122.41136026382446,30.0,79.65414654184711,100,0
Running,6,2015-07-04T09:38:53.000-07:00,1436027933,37.61628496646881,-122.4113861322403,30.37,82.32409610847951,100,0
Running,6,2015-07-04T09:38:54.000-07:00,1436027934,37.6162713766098,-122.41141784191132,30.7,85.49965657266927,100,0
Running,6,2015-07-04T09:38:55.000-07:00,1436027935,37.616257667541504,-122.41144943237305,30.75,88.67233410554525,107,0
Running,6,2015-07-04T09:38:56.000-07:00,1436027936,37.61624276638031,-122.41148114204407,31.09,91.91981411782021,107,0
Running,6,2015-07-04T09:38:57.000-07:00,1436027937,37.616228103637695,-122.41150963306427,31.12,94.91243000269837,107,0
Running,6,2015-07-04T09:38:58.000-07:00,1436027938,37.616212606430054,-122.41153621673584,31.12,97.81965880129975,107,0
Running,6,2015-07-04T09:38:59.000-07:00,1436027939,37.61619782447815,-122.41156315803528,31.61,100.70630156245579,107,0
Running,6,2015-07-04T09:39:00.000-07:00,1436027940,37.61618411540985,-122.41158878803253,32.0,103.43025972368251,111,0
Running,6,2015-07-04T09:39:01.000-07:00,1436027941,37.61617124080658,-122.411616563797,32.34,106.26481598993166,111,0
Running,6,2015-07-04T09:39:02.000-07:00,1436027942,37.61616134643555,-122.41163849830627,32.42,108.48810370237484,111,0
Running,6,2015-07-04T09:39:03.000-07:00,1436027943,37.61614942550659,-122.41165912151337,32.03,110.73681287013528,111,0
Running,6,2015-07-04T09:39:04.000-07:00,1436027944,37.61613368988037,-122.41168749332428,32.44,113.78745661282818,111,0
Running,6,2015-07-04T09:39:05.000-07:00,1436027945,37.61611795425415,-122.41171789169312,32.55,116.98595927654078,118,0
Running,6,2015-07-04T09:39:06.000-07:00,1436027946,37.61610424518585,-122.41174471378326,32.65,119.797551509449,118,0
Running,6,2015-07-04T09:39:07.000-07:00,1436027947,37.6160933971405,-122.41176319122314,32.68,121.8233231154913,118,0
Running,6,2015-07-04T09:39:08.000-07:00,1436027948,37.61608302593231,-122.41177916526794,32.88,123.64254020450603,118,0
Running,6,2015-07-04T09:39:09.000-07:00,1436027949,37.61607015132904,-122.41179478168488,32.9,125.62784327656532,118,0
Running,6,2015-07-04T09:39:10.000-07:00,1436027950,37.61605525016785,-122.41180956363678,32.93,127.7351199860273,122,0
Running,6,2015-07-04T09:39:11.000-07:00,1436027951,37.61604070663452,-122.41183018684387,33.43,130.1671685611631,122,0
Running,6,2015-07-04T09:39:12.000-07:00,1436027952,37.616026163101196,-122.41185402870178,33.52,132.81767285803502,122,0
Running,6,2015-07-04T09:39:13.000-07:00,1436027953,37.61601412296295,-122.41187524795532,33.79,135.11669617484046,122,0
Running,6,2015-07-04T09:39:14.000-07:00,1436027954,37.61600160598755,-122.41189849376678,33.94,137.5924542860374,122,0
Running,6,2015-07-04T09:39:15.000-07:00,1436027955,37.61598718166351,-122.41192352771759,33.78,140.31908214150775,132,0
Running,6,2015-07-04T09:39:16.000-07:00,1436027956,37.6159725189209,-122.41194784641266,33.7,143.01099400571863,132,0
Running,6,2015-07-04T09:39:17.000-07:00,1436027957,37.61595809459686,-122.41196954250336,33.75,145.50587171751587,132,0
Running,6,2015-07-04T09:39:18.000-07:00,1436027958,37.61594343185425,-122.41199040412903,33.7,147.96242426167896,132,0
Running,6,2015-07-04T09:39:19.000-07:00,1436027959,37.61592924594879,-122.41201090812683,33.67,150.3602978013843,132,0
Running,6,2015-07-04T09:39:20.000-07:00,1436027960,37.61591362953186,-122.41203677654266,33.61,153.2250537324533,140,0
Running,6,2015-07-04T09:39:21.000-07:00,1436027961,37.6158983707428,-122.41206383705139,33.6,156.15076870339064,140,0
Running,6,2015-07-04T09:39:22.000-07:00,1436027962,37.615885853767395,-122.41209137439728,33.6,158.947224836745,140,0
Running,6,2015-07-04T09:39:23.000-07:00,1436027963,37.61587178707123,-122.41212224960327,33.75,162.08444662907135,140,0
Running,6,2015-07-04T09:39:24.000-07:00,1436027964,37.61585748195648,-122.41215634346008,34.11,165.4826980500756,140,0
Running,6,2015-07-04T09:39:25.000-07:00,1436027965,37.615843772888184,-122.41218745708466,34.14,168.6186197933927,146,0
Running,6,2015-07-04T09:39:26.000-07:00,1436027966,37.615830302238464,-122.41221511363983,34.27,171.47827984736375,146,0
Running,6,2015-07-04T09:39:27.000-07:00,1436027967,37.6158162355423,-122.41224336624146,34.33,174.4175203051547,146,0
Running,6,2015-07-04T09:39:28.000-07:00,1436027968,37.61580193042755,-122.41227459907532,34.24,177.5952759143312,146,0
Running,6,2015-07-04T09:39:29.000-07:00,1436027969,37.6157888174057,-122.41230916976929,34.03,180.97137055847057,146,0
Running,6,2015-07-04T09:39:30.000-07:00,1436027970,37.61577808856964,-122.41233658790588,33.84,183.66495801490657,148,0
Running,6,2015-07-04T09:39:31.000-07:00,1436027971,37.61576724052429,-122.41236174106598,33.6,186.1875440973571,148,0
Running,6,2015-07-04T09:39:32.000-07:00,1436027972,37.615758419036865,-122.4123923778534,33.4,189.05878518736026,148,0
Running,6,2015-07-04T09:39:33.000-07:00,1436027973,37.6157546043396,-122.41243243217468,33.59,192.6121806249141,148,0
Running,6,2015-07-04T09:39:34.000-07:00,1436027974,37.61575794219971,-122.41247308254242,33.43,196.21185322900322,148,0
Running,6,2015-07-04T09:39:35.000-07:00,1436027975,37.61576521396637,-122.41251027584076,33.25,199.58615411896992,150,0
Running,6,2015-07-04T09:39:36.000-07:00,1436027976,37.61577081680298,-122.41254270076752,33.27,202.50930542291806,150,0
Running,6,2015-07-04T09:39:37.000-07:00,1436027977,37.61577844619751,-122.41257643699646,33.2,205.5995229125015,150,0
Running,6,2015-07-04T09:39:38.000-07:00,1436027978,37.61579418182373,-122.41261744499207,33.06,209.61299713909665,150,0
Running,6,2015-07-04T09:39:39.000-07:00,1436027979,37.61580789089203,-122.41264975070953,32.9,212.84108329990906,150,0
Running,6,2015-07-04T09:39:40.000-07:00,1436027980,37.61581635475159,-122.41266989707947,33.15,214.84970640617183,152,0
Running,6,2015-07-04T09:39:41.000-07:00,1436027981,37.61581575870514,-122.41269397735596,32.64,216.97173233017142,152,0
Running,6,2015-07-04T09:39:42.000-07:00,1436027982,37.615808844566345,-122.41272222995758,32.52,219.57627834280197,152,0
Running,6,2015-07-04T09:39:43.000-07:00,1436027983,37.61580014228821,-122.41274738311768,32.65,221.99386936649466,152,0
Running,6,2015-07-04T09:39:44.000-07:00,1436027984,37.61579251289368,-122.41276907920837,32.5,224.084704283726,152,0
Running,6,2015-07-04T09:39:45.000-07:00,1436027985,37.615785002708435,-122.41279745101929,32.33,226.71953549526688,156,0
Running,6,2015-07-04T09:39:46.000-07:00,1436027986,37.61577761173248,-122.41283249855042,32.35,229.91404881759058,156,0
Running,6,2015-07-04T09:39:47.000-07:00,1436027987,37.61577236652374,-122.41286563873291,32.34,232.8907358901241,156,0
Running,6,2015-07-04T09:39:48.000-07:00,1436027988,37.615768790245056,-122.4129022359848,32.24,236.1386599199123,156,0
Running,6,2015-07-04T09:39:49.000-07:00,1436027989,37.615764021873474,-122.41294276714325,32.05,239.74780627239156,156,0
Running,6,2015-07-04T09:39:50.000-07:00,1436027990,37.61575448513031,-122.41297948360443,31.88,243.15121792297109,156,0
Running,6,2015-07-04T09:39:51.000-07:00,1436027991,37.61574196815491,-122.41301810741425,31.82,246.82690882609523,156,0
Running,6,2015-07-04T09:39:52.000-07:00,1436027992,37.615726470947266,-122.41305649280548,31.65,250.62171453306033,156,0
Running,6,2015-07-04T09:39:53.000-07:00,1436027993,37.615713596343994,-122.41308379173279,31.57,253.4201144637827,156,0
Running,6,2015-07-04T09:39:54.000-07:00,1436027994,37.6157021522522,-122.41311466693878,31.8,256.42260698946814,156,0
Running,6,2015-07-04T09:39:55.000-07:00,1436027995,37.61569082736969,-122.41314888000488,31.7,259.68862841622746,156,0
Running,6,2015-07-04T09:39:56.000-07:00,1436027996,37.61568558216095,-122.41317892074585,31.69,262.3981392561882,156,0
